step,physics,total
0,10.406804,10.406804
100,6.517502,6.517502
200,3.243998,3.243998
300,1.251250,1.251250
400,0.335820,0.335820
500,0.363160,0.363160
600,0.539565,0.539565
700,0.345177,0.345177
800,0.330079,0.330079
900,0.531413,0.531413
1000,0.161610,0.161610
1100,0.129535,0.129535
1200,0.062082,0.062082
1300,0.057667,0.057667
1400,0.112282,0.112282
1500,0.053920,0.053920
1600,0.022509,0.022509
1700,0.057769,0.057769
1800,0.018121,0.018121
1900,0.040960,0.040960
2000,0.017204,0.017204
2100,0.025697,0.025697
2200,0.024890,0.024890
2300,0.067980,0.067980
2400,0.016728,0.016728
2499,0.100284,0.100284
