step,physics,total
0,0.167402,0.167402
100,0.003860,0.003860
200,0.002528,0.002528
300,0.000237,0.000237
400,0.000185,0.000185
500,0.000190,0.000190
600,0.000144,0.000144
700,0.000116,0.000116
800,0.000116,0.000116
900,0.000091,0.000091
1000,0.000080,0.000080
1100,0.000067,0.000067
1200,0.000071,0.000071
1300,0.000051,0.000051
1400,0.000050,0.000050
1500,0.000035,0.000035
1600,0.000036,0.000036
1700,0.000027,0.000027
1800,0.000023,0.000023
1900,0.000021,0.000021
2000,0.000017,0.000017
2100,0.000016,0.000016
2200,0.000014,0.000014
2300,0.000016,0.000016
2400,0.000010,0.000010
2499,0.000013,0.000013
