phase,step,physics,total
adam,0,0.075543,0.075543
adam,100,0.006699,0.006699
adam,200,0.002278,0.002278
adam,300,0.001184,0.001184
adam,400,0.000942,0.000942
adam,500,0.000702,0.000702
adam,600,0.000787,0.000787
adam,700,0.000699,0.000699
adam,800,0.000632,0.000632
adam,900,0.000418,0.000418
adam,1000,0.000171,0.000171
adam,1100,0.000093,0.000093
adam,1200,0.000071,0.000071
adam,1300,0.000047,0.000047
adam,1400,0.000034,0.000034
adam,1500,0.000027,0.000027
adam,1600,0.000020,0.000020
adam,1700,0.000018,0.000018
adam,1800,0.000016,0.000016
adam,1900,0.000011,0.000011
adam,2000,0.000013,0.000013
adam,2100,0.000010,0.000010
adam,2200,0.000010,0.000010
adam,2300,0.000010,0.000010
adam,2400,0.000008,0.000008
adam,2499,0.000007,0.000007
lbfgs,1,0.000008,0.000008
