step,physics,total
0,36.404072,36.404072
100,31.806139,31.806139
200,23.347256,23.347256
300,22.491940,22.491940
400,16.106466,16.106466
500,12.100898,12.100898
600,5.679795,5.679795
700,4.550182,4.550182
800,7.967886,7.967886
900,9.168900,9.168900
1000,8.665807,8.665807
1100,8.615319,8.615319
1200,4.281133,4.281133
1300,7.090629,7.090629
1400,8.155469,8.155469
1500,6.333173,6.333173
1600,3.715474,3.715474
1700,3.165349,3.165349
1800,2.931152,2.931152
1900,5.782844,5.782844
2000,8.791920,8.791920
2100,3.673359,3.673359
2200,5.373865,5.373865
2300,3.175671,3.175671
2400,5.137448,5.137448
2499,3.161256,3.161256
