phase,step,physics,total
adam,0,0.069587,0.069587
adam,100,0.001088,0.001088
adam,200,0.000996,0.000996
adam,300,0.000885,0.000885
adam,400,0.000760,0.000760
adam,500,0.000678,0.000678
adam,600,0.000666,0.000666
adam,700,0.000655,0.000655
adam,800,0.000659,0.000659
adam,900,0.000660,0.000660
adam,1000,0.000640,0.000640
adam,1100,0.000633,0.000633
adam,1200,0.000611,0.000611
adam,1300,0.000634,0.000634
adam,1400,0.000620,0.000620
adam,1500,0.000605,0.000605
adam,1600,0.000606,0.000606
adam,1700,0.000591,0.000591
adam,1800,0.000572,0.000572
adam,1900,0.000569,0.000569
adam,2000,0.000583,0.000583
adam,2100,0.000567,0.000567
adam,2200,0.000566,0.000566
adam,2300,0.000563,0.000563
adam,2400,0.000556,0.000556
adam,2499,0.000549,0.000549
lbfgs,1,0.000571,0.000571
lbfgs,10,0.000522,0.000522
lbfgs,20,0.000405,0.000405
lbfgs,30,0.000275,0.000275
lbfgs,40,0.000248,0.000248
lbfgs,50,0.000156,0.000156
lbfgs,60,0.000076,0.000076
lbfgs,70,0.000033,0.000033
lbfgs,80,0.000012,0.000012
lbfgs,90,0.000009,0.000009
lbfgs,100,0.000004,0.000004
